country,country_code_x,region,income_level,capital_city,latitude,longitude,country_code_y,inflation_year,inflation_annual_pct,cost_living_index,rent_index,groceries_index,restaurants_index,purchasing_power_index,bread_price_usd,transport_oneway_usd,transport_monthly_pass_usd,rent_monthly_usd,utilities_monthly_usd
Aruba,,Latin America & Caribbean ,High income,Oranjestad,12.5167,-70.0167,,,,,,,,,,,,,
Afghanistan,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,34.5228,69.1761,AFG,2024.0,-6.60118564073726,38.2,8.2,36.8,36.9,48.5,0.88,1.05,12.8,85.0,20.0
Angola,,Sub-Saharan Africa ,Lower middle income,Luanda,-8.81155,13.242,AGO,2024.0,28.2404948915772,,,,,,,,,,
Albania,,Europe & Central Asia,Upper middle income,Tirane,41.3317,19.8172,ALB,2024.0,2.21587375089992,,,,,,,,,,
Andorra,,Europe & Central Asia,High income,Andorra la Vella,42.5075,1.5218,,,,,,,,,,,,,
United Arab Emirates,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,24.4764,54.3705,ARE,2024.0,1.66336510224894,72.4,34.2,68.5,70.8,96.2,,,,1100.0,
Argentina,,Latin America & Caribbean ,Upper middle income,Buenos Aires,-34.6118,-58.4173,ARG,2024.0,219.883929014578,,,,,,,,,,
Armenia,,Europe & Central Asia,Upper middle income,Yerevan,40.1596,44.509,ARM,2024.0,0.269511978259125,,,,,,,,,,
American Samoa,,East Asia & Pacific,High income,Pago Pago,-14.2846,-170.691,,,,,,,,,,,,,
Antigua and Barbuda,,Latin America & Caribbean ,High income,Saint John's,17.1175,-61.8456,ATG,2024.0,6.19886698842116,,,,,,,,,,
Australia,,East Asia & Pacific,High income,Canberra,-35.282,149.129,AUS,2024.0,3.16656665428797,69.5,32.8,65.4,68.9,95.6,3.25,,,1450.0,140.0
Austria,,Europe & Central Asia,High income,Vienna,48.2201,16.3798,AUT,2024.0,2.93791574279376,,,,,,,,,,
Azerbaijan,,Europe & Central Asia,Upper middle income,Baku,40.3834,49.8932,AZE,2024.0,2.21217188919901,,,,,,0.46,,,,
Burundi,,Sub-Saharan Africa ,Low income,Bujumbura,-3.3784,29.3639,BDI,2024.0,20.2124925027847,,,,,,,,,,
Belgium,,Europe & Central Asia,High income,Brussels,50.8371,4.36761,BEL,2024.0,3.14349136500041,,,,,,,,,,
